label,trades,win_rate,pf_r,pnl_pct,profit_r,points,pnl_usd,gross_win_usd,gross_loss_usd,avg_win_pts,avg_loss_pts,payoff
"tp=1 sl=1 min_add=-25 max=1.10 cutoff=0m",168,64.29,0.91,-5.61,-5.33,-67.62,-676.20,8228.12,8904.38,7.6186,14.8406,0.5134
"tp=1 sl=1 min_add=0 max=1 cutoff=-30m",143,63.64,0.89,-5.71,-5.50,-58.00,-580.00,7153.12,7733.12,7.8606,14.8714,0.5286
"tp=1 sl=1 min_add=25 max=1 cutoff=-30m",143,63.64,0.89,-5.71,-5.50,-58.00,-580.00,7153.12,7733.12,7.8606,14.8714,0.5286
"tp=1.10 sl=0.90 min_add=-25 max=1 cutoff=0m",182,59.89,0.92,-5.99,-5.60,-67.65,-676.50,9843.38,10519.88,9.0306,14.4108,0.6267
"tp=1 sl=1 min_add=0 max=1.10 cutoff=30m",179,64.25,0.91,-5.92,-5.63,-46.25,-462.50,8836.88,9299.38,7.6842,14.5303,0.5288
"tp=1 sl=1 min_add=25 max=1.10 cutoff=30m",179,64.25,0.91,-5.92,-5.63,-46.25,-462.50,8836.88,9299.38,7.6842,14.5303,0.5288
"tp=1.10 sl=0.90 min_add=0 max=1.10 cutoff=0m",187,59.89,0.92,-6.17,-5.77,-73.47,-734.70,10092.25,10827.00,9.0109,14.4360,0.6242
"tp=1.10 sl=0.90 min_add=25 max=1.10 cutoff=0m",187,59.89,0.92,-6.17,-5.77,-73.47,-734.70,10092.25,10827.00,9.0109,14.4360,0.6242
"tp=0.90 sl=1 min_add=0 max=1 cutoff=0m",162,66.05,0.89,-6.05,-5.86,-44.00,-440.00,7459.31,7899.38,6.9713,14.3625,0.4854
"tp=0.90 sl=1 min_add=25 max=1 cutoff=0m",162,66.05,0.89,-6.05,-5.86,-44.00,-440.00,7459.31,7899.38,6.9713,14.3625,0.4854
