label,timeframe,trades,win_rate,max_dd_pct,gross_balance,net_balance,gross_pf,net_pf,total_costs
mode=continuation_ema200|entry=close|rr=1.5|trail=none|slip=1,5m,615,40.32,10676.24,1003.55,-102414.00,1.00,0.57,100727.28
mode=continuation_ema200|entry=close|rr=1.5|trail=none|slip=2,5m,615,40.32,10676.54,1003.34,-102412.71,1.00,0.57,100739.58
mode=continuation_ema200|entry=close|rr=1.5|trail=none|slip=3,5m,615,40.32,10676.82,1003.12,-102411.09,1.00,0.57,100751.88
mode=continuation_ema200|entry=close|rr=1.5|trail=be_1r|slip=0,5m,635,34.33,11282.47,999.45,-109734.51,0.99,0.53,103659.41
mode=continuation_ema200|entry=close|rr=1.5|trail=be_1r|slip=1,5m,635,34.33,11282.23,999.14,-109727.30,0.99,0.53,103672.11
mode=continuation_ema200|entry=close|rr=1.5|trail=be_1r|slip=2,5m,635,34.33,11282.62,998.95,-109726.87,0.99,0.53,103684.81
mode=continuation_ema200|entry=close|rr=1.5|trail=be_1r|slip=3,5m,635,34.33,11283.00,998.74,-109726.11,0.99,0.53,103697.50
mode=continuation_ema200|entry=close|rr=2|trail=none|slip=0,5m,594,32.65,9501.07,836.58,-93956.48,0.95,0.58,97245.57
mode=continuation_ema200|entry=close|rr=2|trail=none|slip=1,5m,594,32.65,9501.13,836.35,-93952.42,0.95,0.58,97257.45
mode=continuation_ema200|entry=close|rr=2|trail=none|slip=2,5m,594,32.65,9501.65,836.21,-93953.40,0.95,0.58,97269.33
mode=continuation_ema200|entry=close|rr=2|trail=none|slip=3,5m,594,32.65,9502.13,836.05,-93954.33,0.95,0.58,97281.21
mode=continuation_ema200|entry=close|rr=2|trail=be_1r|slip=0,5m,628,26.27,11940.81,1074.03,-118408.16,1.02,0.51,102587.68
mode=continuation_ema200|entry=close|rr=2|trail=be_1r|slip=1,5m,628,26.27,11940.44,1073.77,-118404.48,1.02,0.51,102600.23
mode=continuation_ema200|entry=close|rr=2|trail=be_1r|slip=2,5m,628,26.27,11940.62,1073.60,-118406.20,1.02,0.51,102612.79
mode=continuation_ema200|entry=close|rr=2|trail=be_1r|slip=3,5m,628,26.27,11940.75,1073.42,-118407.58,1.02,0.51,102625.35
mode=continuation_ema200|entry=prev_open|rr=1|trail=none|slip=0,5m,514,46.30,6765.97,666.50,-65263.79,0.85,0.47,83322.82
mode=continuation_ema200|entry=prev_open|rr=1|trail=none|slip=1,5m,514,46.30,6765.52,666.21,-65256.95,0.85,0.47,83333.10
mode=continuation_ema200|entry=prev_open|rr=1|trail=none|slip=2,5m,514,46.30,6765.48,666.02,-65254.20,0.85,0.47,83343.38
mode=continuation_ema200|entry=prev_open|rr=1|trail=none|slip=3,5m,514,46.30,6765.40,665.81,-65250.98,0.85,0.47,83353.66
mode=continuation_ema200|entry=prev_open|rr=1|trail=be_1r|slip=0,5m,514,46.30,6765.97,666.50,-65263.79,0.85,0.47,83322.82
mode=continuation_ema200|entry=prev_open|rr=1|trail=be_1r|slip=1,5m,514,46.30,6765.52,666.21,-65256.95,0.85,0.47,83333.10
mode=continuation_ema200|entry=prev_open|rr=1|trail=be_1r|slip=2,5m,514,46.30,6765.48,666.02,-65254.20,0.85,0.47,83343.38
mode=continuation_ema200|entry=prev_open|rr=1|trail=be_1r|slip=3,5m,514,46.30,6765.40,665.81,-65250.98,0.85,0.47,83353.66
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=none|slip=0,5m,498,38.55,7511.96,805.09,-72265.50,0.92,0.47,80881.93
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=none|slip=1,5m,498,38.55,7511.79,804.81,-72260.73,0.92,0.47,80891.89
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=none|slip=2,5m,498,38.55,7511.99,804.63,-72259.65,0.92,0.47,80901.85
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=none|slip=3,5m,498,38.55,7512.16,804.43,-72258.21,0.92,0.47,80911.81
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=be_1r|slip=0,5m,504,34.52,7730.86,866.69,-74893.74,0.94,0.44,81762.30
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=be_1r|slip=1,5m,504,34.52,7730.74,866.40,-74889.55,0.94,0.44,81772.38
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=be_1r|slip=2,5m,504,34.52,7730.95,866.21,-74888.72,0.94,0.44,81782.46
mode=continuation_ema200|entry=prev_open|rr=1.5|trail=be_1r|slip=3,5m,504,34.52,7731.13,866.00,-74887.55,0.94,0.44,81792.53
mode=continuation_ema200|entry=prev_open|rr=2|trail=none|slip=0,5m,489,31.28,7206.64,706.72,-69420.31,0.89,0.49,79391.15
mode=continuation_ema200|entry=prev_open|rr=2|trail=none|slip=1,5m,489,31.28,7206.66,706.51,-69417.43,0.89,0.49,79400.93
mode=continuation_ema200|entry=prev_open|rr=2|trail=none|slip=2,5m,489,31.28,7206.95,706.37,-69417.33,0.89,0.49,79410.71
mode=continuation_ema200|entry=prev_open|rr=2|trail=none|slip=3,5m,489,31.28,7207.21,706.21,-69416.93,0.89,0.49,79420.49
mode=continuation_ema200|entry=prev_open|rr=2|trail=be_1r|slip=0,5m,503,25.64,7761.93,835.97,-76297.16,0.93,0.44,81622.13
mode=continuation_ema200|entry=prev_open|rr=2|trail=be_1r|slip=1,5m,503,25.64,7762.01,835.75,-76294.84,0.93,0.44,81632.19
mode=continuation_ema200|entry=prev_open|rr=2|trail=be_1r|slip=2,5m,503,25.64,7762.32,835.59,-76295.05,0.93,0.44,81642.25
mode=continuation_ema200|entry=prev_open|rr=2|trail=be_1r|slip=3,5m,503,25.64,7762.61,835.41,-76294.93,0.93,0.44,81652.31
mode=reversal_daily|entry=close|rr=1|trail=none|slip=0,15m,433,48.26,3376.25,842.26,-31319.90,0.92,0.20,36331.44
mode=reversal_daily|entry=close|rr=1|trail=none|slip=1,15m,433,48.26,3376.94,841.94,-31325.60,0.92,0.20,36340.10
mode=reversal_daily|entry=close|rr=1|trail=none|slip=2,15m,433,48.26,3377.77,841.72,-31332.60,0.92,0.20,36348.76
mode=reversal_daily|entry=close|rr=1|trail=none|slip=3,15m,433,48.26,3378.60,841.51,-31339.61,0.92,0.20,36357.42
